Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
../images_ouput\2022_12_22_16_25_35_214.jpg;21.0;0.2;0;-0.3801;106.7032;84.4134;359.4661;91.0433;359.4469
../images_ouput\2022_12_22_16_25_35_231.jpg;21.0;0.2;0;-0.4009;106.7043;84.4051;359.436;90.8821;359.5078
../images_ouput\2022_12_22_16_25_35_250.jpg;21.0;0.2;0;-0.4267;106.7062;84.3873;359.3557;90.6023;359.6316
../images_ouput\2022_12_22_16_25_35_263.jpg;21.0;0.2;0;-0.4267;106.7062;84.3873;359.3557;90.6023;359.6316
../images_ouput\2022_12_22_16_25_35_275.jpg;21.0;0.2;0;-0.4358;106.7072;84.378;359.3095;90.5136;359.6941
../images_ouput\2022_12_22_16_25_35_300.jpg;21.0;0.2;0;-0.4358;106.7072;84.378;359.3095;90.5136;359.6941
../images_ouput\2022_12_22_16_25_35_322.jpg;21.0;0.2;0;-0.4868;106.7086;84.3569;359.1725;90.3332;359.8274
../images_ouput\2022_12_22_16_25_35_340.jpg;21.0;0.2;0;-0.4868;106.7086;84.3569;359.1725;90.3332;359.8274
../images_ouput\2022_12_22_16_25_35_353.jpg;21.0;0.2;0;-0.4878;106.709;84.3461;359.1033;90.1847;359.8971
../images_ouput\2022_12_22_16_25_35_420.jpg;21.0;0.2;0;-0.5241;106.7101;84.3116;358.8871;90.1058;0.094
../images_ouput\2022_12_22_16_25_35_431.jpg;21.0;0.2;0;-0.5241;106.7101;84.3116;358.8871;90.1058;0.094
../images_ouput\2022_12_22_16_25_35_444.jpg;21.0;0.2;0;-0.5649;106.711;84.2878;358.7791;90.0034;0.1701
../images_ouput\2022_12_22_16_25_35_498.jpg;21.0;0.2;0;-0.5873;106.7117;84.253;358.7772;89.9646;0.1888
../images_ouput\2022_12_22_16_25_35_514.jpg;21.0;0.2;0;-0.5873;106.7117;84.253;358.7772;89.9646;0.1888
../images_ouput\2022_12_22_16_25_35_525.jpg;21.0;0.2;0;-0.5873;106.7117;84.253;358.7772;89.9646;0.1888
../images_ouput\2022_12_22_16_25_35_551.jpg;21.0;0.2;0;-0.6592;106.7104;84.2178;358.9095;90.2083;0.1334
../images_ouput\2022_12_22_16_25_35_584.jpg;21.0;0.2;0;-0.6601;106.7092;84.2055;358.9552;90.3997;0.1187
../images_ouput\2022_12_22_16_25_35_600.jpg;21.0;0.2;0;-0.6601;106.7092;84.2055;358.9552;90.3997;0.1187
../images_ouput\2022_12_22_16_25_35_612.jpg;21.0;0.2;0;-0.6875;106.7079;84.1923;358.9849;90.5717;0.1082
../images_ouput\2022_12_22_16_25_35_649.jpg;21.0;0.2;0;-0.7136;106.7044;84.1651;359.0297;91.1031;0.1047
../images_ouput\2022_12_22_16_25_35_670.jpg;21.0;0.2;0;-0.722;106.7024;84.1511;359.0471;91.4406;0.1075
../images_ouput\2022_12_22_16_25_35_683.jpg;21.0;0.2;0;-0.722;106.7024;84.1511;359.0471;91.4406;0.1075
../images_ouput\2022_12_22_16_25_35_699.jpg;21.0;0.2;0;-0.747;106.6981;84.1217;359.0615;92.243;0.1226
../images_ouput\2022_12_22_16_25_35_716.jpg;21.0;0.2;0;-0.7704;106.6957;84.1064;359.0601;92.6956;0.1326
